,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,arrival,departure
40033,5137.0,OIAW,medium_airport,Ahwaz Airport,31.33740044,48.76200104,66.0,AS,IR,IR-10,Ahwaz,yes,OIAW,AWZ,,,https://en.wikipedia.org/wiki/Ahvaz_Airport,,174,182
40034,5138.0,OIBA,medium_airport,Abu Musa Island Airport,25.8757,55.033001,23.0,AS,IR,IR-23,Abu Musa,yes,OIBA,AEU,,,https://en.wikipedia.org/wiki/Abu_Musa_Airport,,0,2
40035,5139.0,OIBB,medium_airport,Bushehr Airport,28.94479942,50.83459854,68.0,AS,IR,IR-06,Bushehr,yes,OIBB,BUZ,,,https://en.wikipedia.org/wiki/Bushehr_Airport,,57,52
40036,5140.0,OIBH,small_airport,Bastak Airport,27.21269989,54.3185997,1350.0,AS,IR,IR-23,,no,OIBH,,,,,,0,0
40037,5141.0,OIBI,small_airport,Asaloyeh Airport,27.4814,52.615501,15.0,AS,IR,IR-06,Asaloyeh,no,OIBI,YEH,OI15,,https://en.wikipedia.org/wiki/Asalouyeh_Airport,AOY,0,56
40038,5142.0,OIBJ,medium_airport,Jam Airport,27.82049942,52.35219955,2173.0,AS,IR,IR-06,Kangan,no,OIBJ,KNR,,,,"Tohid, OIBM",0,0
40039,5143.0,OIBK,medium_airport,Kish International Airport,26.52619934,53.98020172,101.0,AS,IR,IR-23,Kish Island,yes,OIBK,KIH,,,https://en.wikipedia.org/wiki/Kish_Airport,,0,289
40040,5144.0,OIBL,medium_airport,Bandar Lengeh Airport,26.53199959,54.82479858,67.0,AS,IR,IR-23,Bandar Lengeh,yes,OIBL,BDH,,,https://en.wikipedia.org/wiki/Bandar_Lengeh_Airport,,0,4
40041,42510.0,OIBN,small_airport,Borazjan Airport,29.26666641,51.20000076,265.0,AS,IR,IR-06,Borazjan,no,OIBN,,,,,,0,0
40042,5145.0,OIBP,medium_airport,Persian Gulf International Airport,27.379601,52.737701,27.0,AS,IR,IR-06,Asalouyeh,yes,OIBP,PGU,,,https://en.wikipedia.org/wiki/Persian_Gulf_Airport,"Khalije Fars, PSEEZ, Bandar Asalouyeh, Pars-Special-Zone,  عسلویه",0,16
40043,5146.0,OIBQ,medium_airport,Khark Island Airport,29.26029968,50.32389832,17.0,AS,IR,IR-06,,no,OIBQ,KHK,,,,,0,0
40044,5147.0,OIBS,medium_airport,Sirri Island Airport,25.90889931,54.53939819,43.0,AS,IR,IR-23,,no,OIBS,SXI,,,,,0,0
40045,5148.0,OIBV,medium_airport,Lavan Island Airport,26.81030083,53.35630035,76.0,AS,IR,IR-23,,no,OIBV,LVP,,,,,0,0
40046,32755.0,OICB,small_airport,Baneh Airport,35.98770142,45.8470993,4911.0,AS,IR,IR-16,Baneh,no,OICB,,,,,,0,0
40047,5149.0,OICC,medium_airport,Shahid Ashrafi Esfahani Airport,34.34590149,47.15810013,4307.0,AS,IR,IR-17,Kermanshah,yes,OICC,KSH,,,https://en.wikipedia.org/wiki/Shahid_Ashrafi_Esfahani_Airport,,20,32
40048,32101.0,OICD,small_airport,Abdanan Airport,32.93450165,47.48339844,2600.0,AS,IR,IR-05,Abdanan,no,OICD,,,,,,0,0
40049,42511.0,OICG,small_airport,Ghasre-Shirin Airport,34.51666641,45.56666565,,AS,IR,IR-17,Ghasre-Shirin,no,OICG,,,,,,0,0
40050,5150.0,OICI,medium_airport,Ilam Airport,33.58660126,46.40480042,4404.0,AS,IR,IR-05,Ilam,no,OICI,IIL,,,https://en.wikipedia.org/wiki/Ilam_Airport,,33,31
40051,5151.0,OICK,medium_airport,Khoram Abad Airport,33.4353981,48.28290176,3782.0,AS,IR,IR-20,,yes,OICK,KHD,,,https://en.wikipedia.org/wiki/Khorramabad_Airport,,16,15
40052,5152.0,OICS,medium_airport,Sanandaj Airport,35.2458992,47.00920105,4522.0,AS,IR,IR-16,,yes,OICS,SDG,,,https://en.wikipedia.org/wiki/Sanandaj_Airport,,0,0
40053,42512.0,OICZ,small_airport,Aligoodarz Airport,33.38359833,49.69639969,6505.0,AS,IR,IR-20,,no,OICZ,,,,,,0,0
40054,5153.0,OIFE,small_airport,Hesa Airport,32.92890167,51.56110001,5256.0,AS,IR,IR-04,Hesa,no,OIFE,IFH,,,,,0,0
40055,5154.0,OIFH,small_airport,Shahid Vatan Pour Air Base,32.56700134,51.6916008,5310.0,AS,IR,IR-04,,no,OIFH,,,,,,0,0
40056,5155.0,OIFK,medium_airport,Kashan Airport,33.895302,51.577,3465.0,AS,IR,IR-04,Kashan,yes,OIFK,KKS,,,https://en.wikipedia.org/wiki/Kashan_Airport,,0,0
40057,5156.0,OIFM,medium_airport,Esfahan Shahid Beheshti International Airport,32.75080109,51.86130142,5059.0,AS,IR,IR-04,Isfahan,yes,OIFM,IFN,,,https://en.wikipedia.org/wiki/Isfahan_International_Airport,Isfahan Shahid Beheshti,121,89
40058,5157.0,OIFP,medium_airport,Badr Air Base,32.62110138,51.6969986,5242.0,AS,IR,IR-04,Esfahan,no,OIFP,,,,,Sepah Air Base,0,0
40059,5158.0,OIFS,medium_airport,Shahrekord Airport,32.29719925,50.84220123,6723.0,AS,IR,IR-08,Shahrekord,no,OIFS,CQD,,,https://en.wikipedia.org/wiki/Shahrekord_Airport,,10,9
